epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
1,0.004314,0.998536,2e-05,1.0,0.0001,80.62
2,4e-05,1.0,1e-05,1.0,9.972609476841367e-05,77.53
3,3.4e-05,1.0,6e-06,1.0,9.890738003669029e-05,77.43
4,1.3e-05,1.0,5e-06,1.0,9.755282581475769e-05,80.13
5,0.000823,0.999756,1e-06,1.0,9.567727288213003e-05,78.7
6,0.002422,0.999756,5.5e-05,1.0,9.330127018922194e-05,79.48
