label,accuracy,precision,recall,f1
Clean (no attack),0.9613,0.9856,0.9610,0.9731
FGSM ε=0.01,0.7122,0.7251,0.9750,0.8317
PGD ε=0.01,0.0000,0.0000,0.0000,0.0000
FGSM ε=0.03,0.7133,0.7618,0.8830,0.8179
PGD ε=0.03,0.0000,0.0000,0.0000,0.0000
FGSM ε=0.06,0.6268,0.7810,0.6786,0.7262
PGD ε=0.06,0.0000,0.0000,0.0000,0.0000
