epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_s
1,0.356138,0.768424,0.388877,0.757679,0.001,61.26
2,0.256855,0.86774,0.251275,0.883959,0.0009755282581475768,61.65
3,0.225975,0.878965,0.306685,0.849829,0.0009045084971874736,60.66
4,0.212837,0.894339,0.31768,0.845279,0.0007938926261462366,58.76
5,0.21239,0.889946,0.199654,0.910125,0.0006545084971874737,60.99
6,0.202368,0.893119,0.223507,0.897611,0.0005,64.17
7,0.201018,0.896047,0.253881,0.881684,0.00034549150281252633,60.67
8,0.194673,0.904344,0.265317,0.877133,0.0002061073738537635,60.89
